"Group","Hand_Notation","Expanded_Hands"
"7","53s","[[""5h"", ""3h""], [""5d"", ""3d""], [""5c"", ""3c""], [""5s"", ""3s""]]"
"7","44","[[""4h"", ""4d""], [""4h"", ""4c""], [""4h"", ""4s""], [""4d"", ""4c""], [""4d"", ""4s""], [""4c"", ""4s""]]"
"7","43s","[[""4h"", ""3h""], [""4d"", ""3d""], [""4c"", ""3c""], [""4s"", ""3s""]]"
"7","33","[[""3h"", ""3d""], [""3h"", ""3c""], [""3h"", ""3s""], [""3d"", ""3c""], [""3d"", ""3s""], [""3c"", ""3s""]]"
"7","22","[[""2h"", ""2d""], [""2h"", ""2c""], [""2h"", ""2s""], [""2d"", ""2c""], [""2d"", ""2s""], [""2c"", ""2s""]]"
"8","A9","[[""Ah"", ""9d""], [""Ah"", ""9c""], [""Ah"", ""9s""], [""Ad"", ""9h""], [""Ad"", ""9c""], [""Ad"", ""9s""], [""Ac"", ""9h""], [""Ac"", ""9d""], [""Ac"", ""9s""], [""As"", ""9h""], [""As"", ""9d""], [""As"", ""9c""]]"
"8","K9","[[""Kh"", ""9d""], [""Kh"", ""9c""], [""Kh"", ""9s""], [""Kd"", ""9h""], [""Kd"", ""9c""], [""Kd"", ""9s""], [""Kc"", ""9h""], [""Kc"", ""9d""], [""Kc"", ""9s""], [""Ks"", ""9h""], [""Ks"", ""9d""], [""Ks"", ""9c""]]"
"8","Q9","[[""Qh"", ""9d""], [""Qh"", ""9c""], [""Qh"", ""9s""], [""Qd"", ""9h""], [""Qd"", ""9c""], [""Qd"", ""9s""], [""Qc"", ""9h""], [""Qc"", ""9d""], [""Qc"", ""9s""], [""Qs"", ""9h""], [""Qs"", ""9d""], [""Qs"", ""9c""]]"
"8","J8","[[""Jh"", ""8d""], [""Jh"", ""8c""], [""Jh"", ""8s""], [""Jd"", ""8h""], [""Jd"", ""8c""], [""Jd"", ""8s""], [""Jc"", ""8h""], [""Jc"", ""8d""], [""Jc"", ""8s""], [""Js"", ""8h""], [""Js"", ""8d""], [""Js"", ""8c""]]"
"8","J7s","[[""Jh"", ""7h""], [""Jd"", ""7d""], [""Jc"", ""7c""], [""Js"", ""7s""]]"
"8","T8","[[""10h"", ""8d""], [""10h"", ""8c""], [""10h"", ""8s""], [""10d"", ""8h""], [""10d"", ""8c""], [""10d"", ""8s""], [""10c"", ""8h""], [""10c"", ""8d""], [""10c"", ""8s""], [""10s"", ""8h""], [""10s"", ""8d""], [""10s"", ""8c""]]"
"8","96s","[[""9h"", ""6h""], [""9d"", ""6d""], [""9c"", ""6c""], [""9s"", ""6s""]]"
"8","87","[[""8h"", ""7d""], [""8h"", ""7c""], [""8h"", ""7s""], [""8d"", ""7h""], [""8d"", ""7c""], [""8d"", ""7s""], [""8c"", ""7h""], [""8c"", ""7d""], [""8c"", ""7s""], [""8s"", ""7h""], [""8s"", ""7d""], [""8s"", ""7c""]]"
"8","85s","[[""8h"", ""5h""], [""8d"", ""5d""], [""8c"", ""5c""], [""8s"", ""5s""]]"
"8","76","[[""7h"", ""6d""], [""7h"", ""6c""], [""7h"", ""6s""], [""7d"", ""6h""], [""7d"", ""6c""], [""7d"", ""6s""], [""7c"", ""6h""], [""7c"", ""6d""], [""7c"", ""6s""], [""7s"", ""6h""], [""7s"", ""6d""], [""7s"", ""6c""]]"
"8","74s","[[""7h"", ""4h""], [""7d"", ""4d""], [""7c"", ""4c""], [""7s"", ""4s""]]"
"8","65","[[""6h"", ""5d""], [""6h"", ""5c""], [""6h"", ""5s""], [""6d"", ""5h""], [""6d"", ""5c""], [""6d"", ""5s""], [""6c"", ""5h""], [""6c"", ""5d""], [""6c"", ""5s""], [""6s"", ""5h""], [""6s"", ""5d""], [""6s"", ""5c""]]"
"8","54","[[""5h"", ""4d""], [""5h"", ""4c""], [""5h"", ""4s""], [""5d"", ""4h""], [""5d"", ""4c""], [""5d"", ""4s""], [""5c"", ""4h""], [""5c"", ""4d""], [""5c"", ""4s""], [""5s"", ""4h""], [""5s"", ""4d""], [""5s"", ""4c""]]"
"8","42s","[[""4h"", ""2h""], [""4d"", ""2d""], [""4c"", ""2c""], [""4s"", ""2s""]]"
"8","32s","[[""3h"", ""2h""], [""3d"", ""2d""], [""3c"", ""2c""], [""3s"", ""2s""]]"
"9","All other hands","[]"
